"AT","BE","CH","CZ","DE.AT.LU","DE.LU","DK.1","DK.2","EE","ES","FI","FR","GR","HU","IT.BRNN","IT.CALABRIA","IT.CNOR","IT.CSUD","IT.FOGN","IT.GR","IT.NORD","IT.NORD.AT","IT.NORD.CH","IT.NORD.FR","IT.NORD.SI","IT.PRGP","IT.ROSN","IT.SACOAC","IT.SACODC","IT.SARD","IT.SICI","IT.SUD","LT","LV","NL","NO.1","NO.2","NO.2NSL","NO.3","NO.4","NO.5","PL","PT","SE.1","SE.2","SE.3","SE.4","SI","SK"
NA,26.27125,25.1166666666667,30.6979166666667,22.2583333333333,NA,21.6733333333333,22.0845833333333,22.0404166666667,24.1995833333333,22.0404166666667,25.8470833333333,45.185,32.0695833333333,40.2983333333333,NA,40.2983333333333,40.2983333333333,40.2983333333333,40.2983333333333,34.3125,34.3125,34.3125,34.3125,34.3125,42.6170833333333,13.1720833333333,40.2983333333333,40.2983333333333,40.2983333333333,42.6170833333333,40.2983333333333,27.7225,27.7225,24.3041666666667,21.6733333333333,21.6733333333333,NA,21.6733333333333,21.6733333333333,21.6733333333333,38.7872222222222,22.49375,21.6733333333333,21.6733333333333,21.6733333333333,22.0733333333333,34.3125,32.0695833333333
NA,30.2645833333333,28.4375,28.19125,27.0054166666667,NA,23.4625,23.7216666666667,30.5916666666667,30.4520833333333,30.5916666666667,30.04375,45.4229166666667,35.575,41.50875,NA,41.50875,41.50875,41.50875,41.50875,35.9554166666667,35.9554166666667,35.9554166666667,35.9554166666667,35.9554166666667,38.67375,28.4475,41.50875,41.50875,41.50875,38.67375,41.50875,33.4079166666667,33.4079166666667,27.8741666666667,23.06125,23.06125,NA,23.3308333333333,22.6466666666667,23.06125,40.1566666666667,23.8454166666667,23.4625,23.4625,23.4625,23.6870833333333,35.8366666666667,34.8566666666667
NA,29.19625,29.1204166666667,25.7216666666667,24.83875,NA,24.2441666666667,24.2441666666667,33.1158333333333,27.955,33.1158333333333,27.6733333333333,47.0816666666667,31.74125,41.2595833333333,NA,41.3975,41.2595833333333,41.2595833333333,41.2595833333333,38.6183333333333,38.6183333333333,38.6183333333333,38.6183333333333,38.6183333333333,42.0825,41.2595833333333,41.2595833333333,41.3975,41.2595833333333,42.0825,41.2595833333333,33.9345833333333,33.9345833333333,29.0675,22.85625,22.85625,NA,24.36125,22.525,22.85625,41.0044444444444,25.1604166666667,24.2441666666667,24.2441666666667,24.2441666666667,24.2441666666667,25.9354166666667,30.31
NA,28.3,26.6833333333333,26.6029166666667,25.6033333333333,NA,24.9816666666667,24.9816666666667,32.1154166666667,23.9104166666667,32.1154166666667,26.76125,42.6070833333333,30.0691666666667,35.03,NA,35.4516666666667,35.03,35.03,35.03,34.2508333333333,34.2508333333333,34.2508333333333,34.2508333333333,34.2508333333333,40.1354166666667,35.03,35.03,35.4516666666667,35.03,40.1354166666667,35.03,33.845,33.845,29.7545833333333,22.575,22.575,NA,24.8254166666667,22.2858333333333,22.575,38.9277777777778,23.9104166666667,24.9816666666667,24.9816666666667,24.9816666666667,24.9816666666667,30.3175,29.5083333333333
NA,26.6591666666667,26.8933333333333,26.64625,26.6283333333333,NA,25.2183333333333,26.4054166666667,33.23625,18.0254166666667,33.23625,26.63,41.7958333333333,27.0029166666667,34.18375,NA,34.7708333333333,34.18375,34.18375,34.18375,32.8508333333333,32.8508333333333,32.8508333333333,32.8508333333333,32.8508333333333,38.9666666666667,34.1620833333333,34.18375,34.7708333333333,34.18375,38.9666666666667,34.18375,35.245,35.245,26.9175,23.5870833333333,23.5870833333333,NA,23.8279166666667,22.65875,23.5870833333333,41.5322222222222,18.0254166666667,25.8025,25.8025,25.8025,26.1291666666667,27.9245833333333,26.8620833333333
NA,15.2266666666667,14.3158333333333,12.6041666666667,13.105,NA,20.2779166666667,20.2783333333333,20.2783333333333,10.9554166666667,20.2783333333333,13.9325,36.775,14.6508333333333,32.0833333333333,NA,32.7941666666667,32.0833333333333,32.0833333333333,32.0833333333333,29.3695833333333,29.3695833333333,29.3695833333333,29.3695833333333,29.3695833333333,39.0158333333333,31.5825,32.0833333333333,32.7941666666667,32.0833333333333,39.0158333333333,32.0833333333333,22.43375,22.43375,21.4070833333333,20.2783333333333,20.2783333333333,NA,20.2925,20.2925,20.2783333333333,31.7511764705882,10.9554166666667,20.2783333333333,20.2783333333333,20.2783333333333,20.2783333333333,12.3416666666667,12.8841666666667
NA,15.4129166666667,-0.767083333333333,1.86125,7.4725,NA,19.80875,20.09625,20.4470833333333,11.0029166666667,20.4470833333333,12.2875,42.9470833333333,7.06416666666667,29.6758333333333,NA,29.6758333333333,29.6758333333333,29.6758333333333,29.6758333333333,26.59,26.59,26.59,26.59,26.59,31.6445833333333,27.6258333333333,29.6758333333333,29.6758333333333,29.6758333333333,31.6445833333333,29.6758333333333,23.9195833333333,23.9195833333333,24.7420833333333,20.09625,20.09625,NA,20.09625,20.0941666666667,20.09625,26.6329411764706,11.0083333333333,20.09625,20.09625,20.09625,20.09625,16.2279166666667,1.86125
NA,23.9920833333333,20.52625,29.3216666666667,21.59125,NA,22.1945833333333,22.2820833333333,32.2970833333333,24.1208333333333,32.2970833333333,22.4308333333333,42.1033333333333,29.3216666666667,40.6041666666667,NA,40.6041666666667,40.6041666666667,40.6041666666667,40.6041666666667,30.2495833333333,30.2495833333333,30.2495833333333,30.2495833333333,30.2495833333333,38.5429166666667,33.9629166666667,40.6041666666667,40.6041666666667,40.6041666666667,38.5429166666667,40.6041666666667,32.3858333333333,32.3858333333333,24.68125,22.1945833333333,22.1945833333333,NA,22.2575,21.9933333333333,22.1945833333333,31.0609090909091,24.1208333333333,22.2820833333333,22.2820833333333,22.2820833333333,22.2820833333333,28.66,29.3216666666667
NA,31.54125,30.36375,31.6175,30.1029166666667,NA,23.8570833333333,26.17875,31.7341666666667,32.4616666666667,31.7341666666667,30.9954166666667,42.0266666666667,31.6175,40.0008333333333,NA,40.0008333333333,40.0008333333333,40.0008333333333,40.0008333333333,31.1433333333333,31.1433333333333,31.1433333333333,31.1433333333333,31.1433333333333,43.2808333333333,37.7391666666667,40.0008333333333,2258.90375,40.0008333333333,43.2808333333333,40.0008333333333,33.4933333333333,33.4933333333333,31.0508333333333,23.825,23.825,NA,25.4625,22.55875,23.825,36.5688888888889,31.6770833333333,26.17875,26.17875,26.17875,26.17875,29.2495833333333,31.6175
NA,31.9745833333333,30.4691666666667,31.7316666666667,30.5691666666667,NA,28.11,29.9333333333333,31.8129166666667,31.1183333333333,31.8129166666667,31.3225,42.3441666666667,32.08375,41.0116666666667,NA,40.15625,41.0116666666667,41.0116666666667,41.0116666666667,33.3808333333333,33.3808333333333,33.3808333333333,33.3808333333333,33.3808333333333,43.8404166666667,40.51625,51.4458333333333,3000,51.4458333333333,43.8404166666667,41.0116666666667,38.1495833333333,38.1495833333333,30.6733333333333,25.2920833333333,25.2920833333333,NA,29.4004166666667,23.2225,25.2920833333333,44.7177777777778,29.2283333333333,29.8983333333333,29.8983333333333,29.8983333333333,29.9320833333333,30.9375,32.08375
